X,Y,Z_PID_Input,Setpoint_PID,Servo_PID_Output,Temp_degC,Sys_cal,G_cal,A_cal,M_cal
0.000,0.000,0.000,90.0000,94.500,0,0,0,0,0
0.000,0.000,0.000,90.0000,94.500,0,0,0,0,0
0.000,0.000,0.000,90.0000,94.500,0,0,0,0,0
0.000,0.000,0.000,90.0000,94.500,0,0,0,0,0
0.000,0.000,0.000,90.0000,94.500,0,0,0,0,0
7.250,-2.625,-2.937,90.0000,97.584,34,0,0,0,0
11.312,-0.187,-7.688,90.0000,102.572,34,0,0,0,0
10.687,0.250,-8.875,90.0000,103.819,34,0,0,0,0
11.062,2.875,-11.125,90.0000,106.181,34,0,0,0,0
9.812,2.625,-11.812,90.0000,106.903,34,0,0,0,0
9.125,2.875,-11.687,90.0000,106.772,34,0,0,0,0
8.812,3.000,-10.562,90.0000,105.591,34,0,0,0,0
9.937,-0.187,-10.437,90.0000,105.459,34,0,0,0,0
11.062,2.437,-12.875,90.0000,108.019,34,0,0,0,0
11.312,3.625,-9.437,90.0000,104.409,34,0,0,0,0
11.000,6.000,-5.688,90.0000,100.472,34,0,0,0,0
11.875,9.875,-1.937,90.0000,96.534,34,0,0,0,0
12.437,13.562,-2.500,90.0000,97.125,34,0,0,0,0
12.875,12.250,-2.375,90.0000,96.994,34,0,0,0,1
12.312,11.750,-3.500,90.0000,98.175,34,0,0,0,1
12.687,11.250,-4.500,90.0000,99.225,34,0,0,0,1
11.687,4.250,5.063,90.0000,89.184,34,0,0,0,1
11.562,3.687,5.625,90.0000,88.594,34,0,0,0,1
11.562,3.500,5.875,90.0000,88.331,34,0,0,0,1
12.125,2.750,5.938,90.0000,88.266,34,0,0,0,1
12.437,4.188,5.063,90.0000,89.184,34,0,0,0,1
13.750,10.250,0.875,90.0000,93.581,34,0,0,0,1
15.687,24.250,-14.562,90.0000,109.791,34,0,0,0,1
14.625,24.000,-28.187,90.0000,124.097,34,0,0,0,1
14.187,22.125,-34.437,90.0000,130.659,34,0,0,0,1
12.812,16.687,-22.312,90.0000,117.928,34,0,0,0,1
11.125,7.000,-3.562,90.0000,98.241,34,0,0,0,1
10.000,-3.500,10.250,90.0000,83.737,34,0,0,0,1
13.062,-2.062,12.625,90.0000,81.244,34,0,0,0,1
15.750,-5.313,12.500,90.0000,81.375,34,0,0,0,1
14.812,-6.125,14.312,90.0000,79.472,34,0,0,0,1
14.062,-5.750,10.250,90.0000,83.737,34,0,0,0,1
13.812,-5.063,6.125,90.0000,88.069,34,0,0,0,1
13.937,-1.125,6.688,90.0000,87.478,34,0,0,0,1
12.500,-1.125,4.375,90.0000,89.906,34,0,0,0,1
12.062,-1.687,4.375,90.0000,89.906,34,0,0,0,1
12.500,-1.937,3.750,90.0000,90.562,34,0,0,0,1
11.937,-1.312,3.062,90.0000,91.284,34,0,0,0,1
10.375,-2.125,3.375,90.0000,90.956,34,0,0,0,1
11.812,-3.625,3.437,90.0000,90.891,34,0,0,0,1
12.187,-2.687,4.188,90.0000,90.103,34,0,0,0,1
12.062,-2.375,3.875,90.0000,90.431,34,0,0,0,1
11.812,-1.625,3.500,90.0000,90.825,34,0,0,0,1
11.875,-2.062,4.000,90.0000,90.300,34,0,0,0,1
12.312,-1.937,5.375,90.0000,88.856,34,0,0,0,1
12.750,-1.062,6.250,90.0000,87.937,34,0,0,0,1
13.062,-1.000,6.250,90.0000,87.937,34,0,0,0,1
13.000,-0.688,6.313,90.0000,87.872,34,0,0,0,1
13.062,-0.813,6.313,90.0000,87.872,34,0,0,0,1
13.062,-1.000,6.375,90.0000,87.806,34,0,0,0,1
13.000,-1.250,6.313,90.0000,87.872,34,0,0,0,1
13.000,-1.125,6.313,90.0000,87.872,34,0,0,0,1
12.937,-1.375,6.438,90.0000,87.741,34,0,0,0,1
12.875,-1.562,6.625,90.0000,87.544,34,0,0,0,1
12.875,-1.687,6.563,90.0000,87.609,34,0,0,0,1
12.812,-1.750,6.500,90.0000,87.675,34,0,0,0,1
12.812,-1.750,6.500,90.0000,87.675,34,0,0,0,1
12.812,-1.625,6.563,90.0000,87.609,34,0,0,0,1
12.812,-1.750,6.375,90.0000,87.806,34,0,0,0,1
12.687,-1.937,6.313,90.0000,87.872,34,0,0,0,1
12.625,-1.750,6.188,90.0000,88.003,34,0,0,0,1
12.625,-1.812,6.125,90.0000,88.069,34,0,0,0,1
12.562,-1.750,6.125,90.0000,88.069,34,0,0,0,1
12.625,-1.625,6.250,90.0000,87.937,34,0,0,0,1
12.625,-1.500,6.313,90.0000,87.872,34,0,0,0,1
12.687,-1.312,6.438,90.0000,87.741,34,0,0,0,1
12.687,-1.187,6.688,90.0000,87.478,34,0,0,0,1
12.812,-0.813,6.875,90.0000,87.281,34,0,0,0,1
12.812,-0.813,6.938,90.0000,87.216,34,0,0,0,1
12.812,-0.688,6.938,90.0000,87.216,34,0,0,0,1
12.812,-0.688,7.000,90.0000,87.150,34,0,0,0,1
12.750,-0.750,7.125,90.0000,87.019,34,0,0,0,1
12.750,-0.688,7.125,90.0000,87.019,34,0,0,0,1
12.437,-1.187,7.125,90.0000,87.019,34,0,0,0,1
10.062,-7.813,5.875,90.0000,88.331,34,0,0,0,1
3.562,-16.125,9.062,90.0000,84.984,34,0,0,0,1
2.062,-18.062,14.000,90.0000,79.800,34,0,0,0,1
359.125,-2.125,24.375,90.0000,68.906,34,0,0,0,1
357.187,-4.375,18.750,90.0000,74.813,34,0,0,0,1
359.312,-6.750,16.125,90.0000,77.569,34,0,0,0,1
357.312,-9.625,8.937,90.0000,85.116,34,0,0,0,1
347.000,-7.813,6.250,90.0000,87.937,34,0,0,0,1
343.812,-8.562,-0.125,90.0000,94.631,34,0,0,0,1
114.188,-9.312,0.750,90.0000,93.712,34,0,0,0,2
118.063,-10.812,1.687,90.0000,92.728,34,0,0,0,2
116.438,-8.750,-0.187,90.0000,94.697,34,0,0,0,2
112.875,-7.313,-3.750,90.0000,98.437,34,0,0,0,2
111.563,-8.562,-1.062,90.0000,95.616,34,0,0,0,2
120.125,-9.562,0.875,90.0000,93.581,34,3,0,0,2
123.688,-7.375,1.500,90.0000,92.925,34,3,0,0,2
117.938,-5.313,2.625,90.0000,91.744,34,3,0,0,2
114.813,-6.188,3.500,90.0000,90.825,34,3,0,0,2
113.938,-5.938,3.187,90.0000,91.153,34,3,0,0,2
113.375,-6.938,1.562,90.0000,92.859,34,3,0,0,2
113.125,-6.938,1.437,90.0000,92.991,34,3,0,0,2
113.063,-6.875,1.437,90.0000,92.991,34,3,0,0,2
113.063,-6.750,1.625,90.0000,92.794,34,3,0,0,2
112.938,-6.688,1.625,90.0000,92.794,34,3,0,0,2
112.875,-6.563,1.562,90.0000,92.859,34,3,0,0,2
112.938,-6.563,1.500,90.0000,92.925,34,3,0,0,2
112.625,-6.500,1.250,90.0000,93.187,34,3,0,0,2
112.750,-6.500,1.312,90.0000,93.122,34,3,0,0,2
112.938,-6.438,1.500,90.0000,92.925,34,3,0,0,2
112.875,-6.438,1.687,90.0000,92.728,34,3,0,0,2
112.813,-6.438,1.687,90.0000,92.728,34,3,0,0,2
112.375,-6.438,1.687,90.0000,92.728,34,3,0,0,2
112.125,-6.438,1.687,90.0000,92.728,34,3,0,0,2
111.813,-6.500,1.625,90.0000,92.794,34,3,0,0,2
111.750,-6.438,1.687,90.0000,92.728,34,3,0,0,2
111.750,-6.438,1.687,90.0000,92.728,34,3,0,0,2
111.813,-6.313,1.812,90.0000,92.597,34,3,0,0,2
111.813,-6.250,1.875,90.0000,92.531,34,3,0,0,2
111.813,-6.250,1.937,90.0000,92.466,34,3,0,0,2
111.813,-6.188,1.937,90.0000,92.466,34,3,0,0,2
111.813,-6.188,1.812,90.0000,92.597,34,3,0,0,2
111.813,-6.125,1.750,90.0000,92.663,34,3,0,0,2
111.813,-6.125,1.750,90.0000,92.663,34,3,0,0,2
111.813,-6.125,1.500,90.0000,92.925,34,3,0,0,2
111.813,-6.063,1.375,90.0000,93.056,34,3,0,0,2
111.813,-6.063,1.500,90.0000,92.925,34,3,0,0,2
112.250,-6.063,1.750,90.0000,92.663,34,3,0,0,2
112.313,-6.063,1.750,90.0000,92.663,34,3,0,0,2
112.313,-6.063,1.687,90.0000,92.728,34,3,0,0,2
112.313,-6.063,1.687,90.0000,92.728,34,3,0,0,2
112.313,-6.063,1.625,90.0000,92.794,34,3,0,0,2
112.313,-6.063,1.500,90.0000,92.925,34,3,0,0,2
112.313,-6.063,1.625,90.0000,92.794,34,3,0,0,2
112.313,-6.000,1.750,90.0000,92.663,34,3,0,0,2
112.313,-6.000,2.062,90.0000,92.334,34,3,0,0,2
112.188,-6.000,1.875,90.0000,92.531,34,3,0,0,2
111.938,-6.063,1.375,90.0000,93.056,34,3,0,0,2
111.938,-6.063,1.312,90.0000,93.122,34,3,0,0,2
112.250,-6.063,1.437,90.0000,92.991,34,3,0,0,2
112.625,-6.000,1.375,90.0000,93.056,34,3,0,0,2
113.188,-6.000,1.125,90.0000,93.319,34,3,0,0,2
113.500,-6.000,1.375,90.0000,93.056,34,3,0,0,2
113.813,-5.938,1.375,90.0000,93.056,34,3,0,0,2
114.188,-5.938,1.250,90.0000,93.187,34,3,0,0,2
114.438,-5.938,1.187,90.0000,93.253,34,3,0,0,2
114.938,-5.938,1.187,90.0000,93.253,34,3,0,0,2
115.313,-5.938,1.312,90.0000,93.122,34,3,0,0,2
115.688,-5.875,1.312,90.0000,93.122,34,3,0,0,2
116.000,-5.875,1.625,90.0000,92.794,34,3,0,0,2
116.000,-5.875,1.812,90.0000,92.597,34,3,0,0,2
116.000,-5.875,1.937,90.0000,92.466,34,3,0,0,2
116.000,-5.938,1.687,90.0000,92.728,34,3,0,0,2
116.000,-5.938,1.500,90.0000,92.925,34,3,0,0,2
116.313,-5.875,1.750,90.0000,92.663,34,3,0,0,2
116.875,-5.875,1.687,90.0000,92.728,34,3,0,0,2
117.500,-5.875,2.187,90.0000,92.203,34,3,0,0,2
118.125,-5.875,2.187,90.0000,92.203,34,3,0,0,2
118.313,-5.875,2.062,90.0000,92.334,34,3,0,0,2
118.188,-6.063,1.812,90.0000,92.597,34,3,0,0,2
116.750,-6.563,2.000,90.0000,92.400,34,3,0,0,2
116.500,-6.375,2.125,90.0000,92.269,34,3,0,0,2
116.063,-6.313,2.187,90.0000,92.203,34,3,0,0,2
116.125,-6.313,2.250,90.0000,92.138,34,3,0,0,2
116.188,-6.313,2.250,90.0000,92.138,34,3,0,0,2
116.313,-6.313,2.250,90.0000,92.138,34,3,0,0,2
116.438,-6.313,2.250,90.0000,92.138,34,3,0,0,2
116.500,-6.313,2.187,90.0000,92.203,34,3,0,0,2
116.813,-6.313,2.125,90.0000,92.269,34,3,0,0,2
116.813,-6.313,2.125,90.0000,92.269,34,3,0,0,2
116.813,-6.313,2.250,90.0000,92.138,34,3,0,0,2
116.813,-6.313,2.250,90.0000,92.138,34,3,0,0,2
117.000,-6.313,2.312,90.0000,92.072,34,3,0,0,2
116.625,-6.125,2.312,90.0000,92.072,34,3,0,0,2
114.375,-6.000,1.937,90.0000,92.466,34,3,0,0,2
111.125,-6.125,1.250,90.0000,93.187,34,3,0,0,2
108.750,-6.188,0.688,90.0000,93.778,34,3,0,0,2
107.250,-6.250,0.312,90.0000,94.172,34,3,0,0,2
105.750,-6.250,0.000,90.0000,94.500,34,3,0,0,2
105.938,-6.250,0.125,90.0000,94.369,34,3,0,0,2
111.063,-6.188,1.250,90.0000,93.187,34,3,0,0,2
119.063,-5.875,2.187,90.0000,92.203,34,3,0,0,2
124.250,-5.625,2.687,90.0000,91.678,34,3,0,0,2
124.813,-5.688,2.687,90.0000,91.678,34,3,0,0,2
124.625,-5.750,2.375,90.0000,92.006,34,3,0,0,2
120.750,-5.875,1.562,90.0000,92.859,34,3,0,0,2
115.250,-6.063,0.875,90.0000,93.581,34,3,0,0,2
114.375,-6.125,0.875,90.0000,93.581,34,3,0,0,2
115.313,-6.125,1.375,90.0000,93.056,34,3,0,0,2
118.438,-6.000,1.875,90.0000,92.531,34,3,0,0,2
120.563,-5.938,2.187,90.0000,92.203,34,3,0,0,2
120.813,-5.938,2.062,90.0000,92.334,34,3,0,0,2
118.625,-6.000,1.812,90.0000,92.597,34,3,0,0,2
115.563,-6.125,1.687,90.0000,92.728,34,3,0,0,2
115.375,-6.125,1.687,90.0000,92.728,34,3,0,0,2
115.375,-6.188,1.625,90.0000,92.794,34,3,0,0,2
115.375,-6.188,1.687,90.0000,92.728,34,3,0,0,2
115.688,-6.188,1.812,90.0000,92.597,34,3,0,0,2
115.688,-6.188,1.812,90.0000,92.597,34,3,0,0,2
115.750,-6.188,1.812,90.0000,92.597,34,3,0,0,2
116.375,-6.313,1.937,90.0000,92.466,34,3,0,0,2
117.750,-6.313,2.250,90.0000,92.138,34,3,0,0,2
117.813,-6.313,2.250,90.0000,92.138,34,3,0,0,2
117.875,-6.313,2.187,90.0000,92.203,34,3,0,0,2
118.125,-6.188,2.062,90.0000,92.334,34,3,0,0,2
118.125,-6.188,2.125,90.0000,92.269,34,3,0,0,2
117.938,-6.063,1.750,90.0000,92.663,34,3,0,0,2
117.563,-6.000,1.312,90.0000,93.122,34,3,0,0,2
117.875,-3.875,1.937,90.0000,92.466,34,3,0,0,2
117.188,-1.125,1.750,90.0000,92.663,34,3,0,0,2
115.938,-1.125,2.562,90.0000,91.809,34,3,0,0,2
114.750,-6.125,1.375,90.0000,93.056,34,3,0,0,2
116.063,-6.125,1.312,90.0000,93.122,34,3,0,0,2
116.125,-6.375,2.062,90.0000,92.334,34,3,0,0,2
114.875,-6.563,1.562,90.0000,92.859,34,3,0,0,2
113.000,-6.625,1.000,90.0000,93.450,34,3,0,0,2
112.063,-6.438,1.437,90.0000,92.991,34,3,0,0,2
111.813,-6.250,1.687,90.0000,92.728,34,3,0,0,2
111.813,-6.250,1.625,90.0000,92.794,34,3,0,0,2
111.813,-6.313,1.500,90.0000,92.925,34,3,0,0,2
111.750,-6.313,1.062,90.0000,93.384,34,3,0,0,2
106.875,-6.438,0.187,90.0000,94.303,34,3,0,0,2
103.438,-6.500,-0.250,90.0000,94.763,34,3,0,0,2
101.188,-6.500,-0.500,90.0000,95.025,34,3,0,0,2
100.938,-6.500,-0.563,90.0000,95.091,34,3,0,0,2
100.313,-6.500,-0.813,90.0000,95.353,34,3,0,0,2
99.188,-6.563,-0.938,90.0000,95.484,34,3,0,0,2
99.188,-6.563,-0.625,90.0000,95.156,34,3,0,0,2
99.375,-6.563,-0.187,90.0000,94.697,34,3,0,0,2
107.688,-6.188,0.250,90.0000,94.237,34,3,0,0,2
115.625,-5.813,0.875,90.0000,93.581,34,3,0,0,2
116.438,-5.750,1.000,90.0000,93.450,34,3,0,0,2
116.000,-5.750,0.563,90.0000,93.909,34,3,0,0,2
111.375,-5.938,0.500,90.0000,93.975,34,3,0,0,2
108.500,-6.125,0.312,90.0000,94.172,34,3,0,0,2
108.125,-6.125,0.500,90.0000,93.975,34,3,0,0,2
108.438,-6.313,1.062,90.0000,93.384,34,3,0,0,2
111.563,-6.438,1.875,90.0000,92.531,34,3,0,0,2
112.438,-6.313,2.062,90.0000,92.334,34,3,0,0,2
112.688,-6.188,2.250,90.0000,92.138,34,3,0,0,2
112.875,-6.125,2.187,90.0000,92.203,34,3,0,0,2
112.250,-6.188,2.125,90.0000,92.269,34,3,0,0,2
112.875,-6.125,2.312,90.0000,92.072,34,3,0,0,2
114.813,-6.063,2.437,90.0000,91.941,34,3,0,0,2
116.188,-6.063,2.687,90.0000,91.678,34,3,0,0,2
118.625,-6.000,3.000,90.0000,91.350,34,3,0,0,2
121.188,-5.938,3.062,90.0000,91.284,34,3,0,0,2
127.000,-5.688,3.437,90.0000,90.891,34,3,0,0,2
128.188,-9.437,10.750,90.0000,83.212,34,3,0,0,2
129.750,-7.813,16.500,90.0000,77.175,34,3,0,0,2
131.375,-8.437,17.875,90.0000,75.731,34,3,0,0,2
134.000,-13.187,14.687,90.0000,79.078,34,3,0,0,2
135.063,-10.312,13.250,90.0000,80.587,34,3,0,0,2
137.813,-4.938,13.750,90.0000,80.063,34,3,0,0,2
136.875,-7.625,12.062,90.0000,81.834,34,3,0,0,2
130.313,-4.000,16.062,90.0000,77.634,34,3,0,0,2
125.438,-0.438,21.312,90.0000,72.122,34,3,0,0,2
121.938,-3.437,14.062,90.0000,79.734,34,3,0,0,2
120.625,-4.938,4.938,90.0000,89.316,34,3,0,0,2
121.250,-5.000,-9.562,90.0000,104.541,34,3,0,0,2
120.563,-9.437,-35.812,90.0000,132.103,34,3,0,0,2
120.938,-11.062,-64.313,90.0000,162.028,34,2,0,0,2
122.625,-11.562,-82.438,90.0000,181.059,34,2,0,0,2
128.125,-14.500,-75.375,90.0000,173.644,34,2,0,0,2
125.063,-15.250,-49.000,90.0000,145.950,34,2,0,0,2
123.688,-17.125,-27.750,90.0000,123.638,34,2,0,0,2
